Client Name,Date,Thank You Page Views
Proplank Ohio,2024-09,3.0
Proplank Ohio,2024-10,6.0
Proplank Ohio,2024-11,3.0
Proplank Ohio,2024-12,3.0
Proplank Ohio,2025-01,3.0
Proplank Ohio,2025-02,2.0
Floor to Ceiling Ottumwa,2024-09,3.0
Floor to Ceiling Ottumwa,2024-10,4.0
Floor to Ceiling Ottumwa,2024-11,2.0
Floor to Ceiling Ottumwa,2024-12,6.0
Floor to Ceiling Ottumwa,2025-01,2.0
Floors Plus More,2024-10,3.0
Floors Plus More,2024-11,4.0
Floors Plus More,2024-12,6.0
Floors Plus More,2025-01,4.0
Floors Plus More,2025-02,3.0
McKean's,2024-09,17.0
McKean's,2024-10,11.0
McKean's,2024-11,10.0
McKean's,2024-12,10.0
McKean's,2025-01,18.0
McKean's,2025-02,6.0
FloorCraft,2024-09,5.0
FloorCraft,2024-10,6.0
FloorCraft,2024-11,4.0
FloorCraft,2024-12,7.0
FloorCraft,2025-01,8.0
FloorCraft,2025-02,2.0
Melbourne Beach Flooring and Kitchens,2024-09,3.0
Melbourne Beach Flooring and Kitchens,2024-10,6.0
Melbourne Beach Flooring and Kitchens,2024-11,6.0
Melbourne Beach Flooring and Kitchens,2024-12,3.0
Melbourne Beach Flooring and Kitchens,2025-01,7.0
Melbourne Beach Flooring and Kitchens,2025-02,1.0
Elliot Carpet & Tile,2024-12,3.0
Elliot Carpet & Tile,2025-01,2.0
Elliot Carpet & Tile,2025-02,2.0
Floor to Ceiling Winter Garden,2024-09,4.0
Floor to Ceiling Winter Garden,2024-10,6.0
Floor to Ceiling Winter Garden,2024-11,7.0
Floor to Ceiling Winter Garden,2024-12,5.0
Floor to Ceiling Winter Garden,2025-01,9.0
Floor to Ceiling Winter Garden,2025-02,5.0
About Floors n More,2024-09,3.0
About Floors n More,2024-10,11.0
About Floors n More,2024-11,13.0
About Floors n More,2024-12,10.0
About Floors n More,2025-01,12.0
About Floors n More,2025-02,3.0
Floor To Ceiling Mason City,2024-09,8.0
Floor To Ceiling Mason City,2024-10,10.0
Floor To Ceiling Mason City,2024-11,12.0
Floor To Ceiling Mason City,2024-12,4.0
Floor To Ceiling Mason City,2025-01,15.0
Floor To Ceiling Mason City,2025-02,3.0
Drapery Affair & The Floor Store,2024-09,1.0
Drapery Affair & The Floor Store,2024-10,3.0
Drapery Affair & The Floor Store,2024-11,16.0
Drapery Affair & The Floor Store,2024-12,8.0
Drapery Affair & The Floor Store,2025-01,4.0
Drapery Affair & The Floor Store,2025-02,4.0
Floor to Ceiling Mitchell,2024-09,11.0
Floor to Ceiling Mitchell,2024-10,3.0
Floor to Ceiling Mitchell,2024-11,7.0
Floor to Ceiling Mitchell,2024-12,1.0
Floor to Ceiling Mitchell,2025-01,3.0
Floor to Ceiling Mitchell,2025-02,1.0
TLC Floor Center LLC,2024-09,6.0
TLC Floor Center LLC,2024-10,3.0
TLC Floor Center LLC,2024-11,2.0
TLC Floor Center LLC,2024-12,4.0
TLC Floor Center LLC,2025-01,5.0
TLC Floor Center LLC,2025-02,1.0
Floor To Ceiling St. Joseph,2024-09,2.0
Floor To Ceiling St. Joseph,2024-10,8.0
Floor To Ceiling St. Joseph,2024-11,5.0
Floor To Ceiling St. Joseph,2024-12,8.0
Floor To Ceiling St. Joseph,2025-01,8.0
Floor To Ceiling St. Joseph,2025-02,4.0
Junge's Flooring,2024-09,12.0
Junge's Flooring,2024-10,13.0
Junge's Flooring,2024-11,12.0
Junge's Flooring,2024-12,9.0
Junge's Flooring,2025-01,14.0
Junge's Flooring,2025-02,4.0
Floors & Kitchens Today,2024-09,5.0
Floors & Kitchens Today,2024-10,4.0
Floors & Kitchens Today,2024-11,13.0
Floors & Kitchens Today,2024-12,8.0
Floors & Kitchens Today,2025-01,15.0
Floors & Kitchens Today,2025-02,5.0
Big Bob's Ohio,2024-09,54.0
Big Bob's Ohio,2024-10,125.0
Big Bob's Ohio,2024-11,99.0
Big Bob's Ohio,2024-12,53.0
Big Bob's Ohio,2025-01,51.0
Big Bob's Ohio,2025-02,9.0
Ideal Floors,2024-09,11.0
Ideal Floors,2024-10,19.0
Ideal Floors,2024-11,26.0
Ideal Floors,2024-12,12.0
Ideal Floors,2025-01,19.0
Ideal Floors,2025-02,5.0
